Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3339297,El corazón tardío,Antonio Gala,"Gala, Antonio",,8423970159,9788423970155,0,3.38,"Espasa Calpe Mexicana, S.A.",Hardcover,228,1998,1998,,2023/01/11,to-read,to-read (#170),to-read,,,,0,0
651777,El Imperio,Ryszard Kapuściński,"Kapuściński, Ryszard",Agata Orzeszek Sujak,8433972839,9788433972835,0,4.36,Anagrama,Paperback,360,2007,1992,,2022/08/24,"abandoned, to-read","abandoned (#3), to-read (#169)",to-read,,,,0,0
384786,The Power of the Powerless,Václav Havel,"Havel, Václav",John Keane,0873327616,9780873327619,5,4.24,Routledge,Paperback,228,1985,1978,2022/12/20,2022/12/02,,,read,,,,1,0
417015,The Question of German Guilt,Karl Jaspers,"Jaspers, Karl","Joseph W. Koterski, E.B. Ashton",0823220699,9780823220694,0,4.04,Fordham University Press,Paperback,117,2001,1946,,2022/12/15,to-read,to-read (#168),to-read,,,,0,0
57693262,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,1635576814,9781635576818,0,3.97,Bloomsbury Publishing,Hardcover,384,2022,2022,,2022/12/14,to-read,to-read (#167),to-read,,,,0,0
63326926,Corazones perdidos,Celeste Ng,"Ng, Celeste",Laura Vidal,8490659214,9788490659212,0,3.9,Alba Editorial,Paperback,344,2022,2022,,2022/12/11,currently-reading,currently-reading (#2),currently-reading,,,,1,0
293393,Una soledad demasiado ruidosa,Bohumil Hrabal,"Hrabal, Bohumil",Monika Zgustová,8423318540,9788423318544,5,4,Destino,Paperback,160,1995,1976,2022/12/05,2022/12/05,,,read,"“yo, que vivo en un país donde la gente sabe leer y escribir desde quince generaciones atrás, bebo para que el texto me despierte, para que la lectura<br/>me produzca escalofríos”<br/><br/>No puedo describirlo, nunca había leído nada así. Os recomiendo tantísimo que lo leáis... Las descripciones que hace, las constantes repeticiones que te hacen sentir desorientado... Súper súper sorprendente.<br/><br/>Especialmente sobrecogedora la historia de la gitana, me cogió completamente por sorpresa. <br/><br/>Me parece una lectura sobrecogedora, que te atrapa con las exposiciones de las mismas ideas una y otra vez y te hace sentir que tú mismo te encuentras dentro de la prensa de papel, con la guerra de las ratas, Kant, los ratoncillos, la cueva, los paseos por Praga…. Es una lectura que te deja desasosegado e intranquilo, desorientado. La falta de hilo y a la vez la constante conexión entre todos sus elementos… No sé, es una lectura cortísima que me ha dejado sin palabras. <br/>",,,1,0
3145988,Juventud,J.M. Coetzee,"Coetzee, J.M.",,9879397320,9789879397329,5,3.79,Mondadori,Paperback,176,2004,2002,2022/12/04,2022/11/29,,,read,"“¿Qué le ha pasado? ¿Es verdad que el arte solo surge en la tristeza? ¿Debe volver a sufrir para escribir? ¿No existe también una poesía del éxtasis, incluso una poesía del críquet a la hora del almuerzo como forma de éxtasis?”<br/><br/>Este libro va directo a mi lista de favoritos, me ha encantado, hacía tiempo que no leía algo que me atrapase tanto y que estuviese tan bien escrito. <br/>Esta novela autobiográfica me ha dado muchas ganas de leer otras obras de Coetzee, quizás incluso de leerme la tercera parte de esta colección (Escenas de una vida de provincias). <br/>Sus reflexiones sobre la vida académica, sobre la poesía, la vida en otro país, la juventud, etc. me han tocado mucho. <br/>Me gustaría mucho que lo leyeseis, porque a mí me ha sorprendido y me ha gustado muchísimo. Me hace gracia haberlo descubierto a través de otro libro (Poeta Chileno) y coincidir totalmente en lo que el personaje que lo recomienda dice de él. ",,,1,0
168754,Letters to Olga: June 1979-September 1982,Václav Havel,"Havel, Václav",Paul Wilson,0805009736,9780805009736,0,3.77,Henry Holt & Company,Paperback,397,1989,1983,,2022/12/02,to-read,to-read (#166),to-read,,,,0,0
168744,Summer Meditations,Václav Havel,"Havel, Václav",Paul Wilson,0679744975,9780679744979,0,4.1,Vintage,Paperback,149,1993,1991,,2022/12/02,to-read,to-read (#165),to-read,,,,0,0
839087,To the Castle and Back: Reflections on My Strange Life as a Fairy-Tale Hero,Václav Havel,"Havel, Václav",Paul Wilson,0676979475,9780676979473,0,3.94,Knopf Canada,Hardcover,400,2007,2006,,2022/12/02,to-read,to-read (#164),to-read,,,,0,0
168742,"Open Letters: Selected Writings, 1965-1990",Václav Havel,"Havel, Václav",Paul Wilson,0679738118,9780679738114,0,4.29,Vintage,Paperback,415,1992,1991,,2022/12/02,to-read,to-read (#163),to-read,,,,0,0
17453231,Zahradní slavnost,Václav Havel,"Havel, Václav",,,,0,3.61,Orbis,Paperback,79,1964,1964,,2022/12/02,to-read,to-read (#162),to-read,,,,0,0
282553,"El mar, el mar",Iris Murdoch,"Murdoch, Iris",Marta Isabel Gustavino Castro,8497936493,9788497936491,0,3.94,DeBolsillo,Mass Market Paperback,736,2009,1978,,2022/12/02,to-read,to-read (#161),to-read,,,,0,0
51042792,Fleabag: The Scriptures,Phoebe Waller-Bridge,"Waller-Bridge, Phoebe",,1529394805,9781529394801,0,4.87,Ballantine Books,Hardcover,368,2019,2019,,2022/12/02,to-read,to-read (#160),to-read,,,,0,0
96259,Crush,Richard Siken,"Siken, Richard",,0300107897,9780300107890,0,4.33,Yale University Press,Paperback,62,2005,2005,,2022/12/02,to-read,to-read (#159),to-read,,,,0,0
63893223,Amor y pan,Paula Melchor,"Melchor, Paula",Juanpe Sánchez López,,9788412511987,0,4.67,Letraversal,Paperback,,2022,,,2022/12/02,to-read,to-read (#158),to-read,,,,0,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Norman MacAfee, Charles E. Wilbour, Lee Fahnestock, Isabel Florence Hapgood",,,5,4.19,Penguin,Mass Market Paperback,1463,1987,1862,,2022/12/02,,,read,,,,1,0
1622,A Midsummer Night's Dream,William Shakespeare,"Shakespeare, William","Paul Werstine, Alan Durband, Roma Gill, Catherine Belsey, A.R. Braunmuller, Barbara A. Mowat",0743477545,9780743477543,0,3.95,Simon & Schuster Paperbacks,Paperback,240,2016,1595,,2022/12/02,all-time-favs,all-time-favs (#8),read,,,,1,0
56819655,"Luz de febrero (Olive Kitteridge, #2)",Elizabeth Strout,"Strout, Elizabeth",,,9788417761417,5,4.11,Duomo,Paperback,368,2021,2019,,2022/02/01,all-time-favs,all-time-favs (#7),read,,,,1,0
6509154,Letter to D: A Love Story,André Gorz,"Gorz, André",Julie Rose,0745646778,9780745646770,5,4.06,Polity,Hardcover,144,2009,2006,,2022/02/01,all-time-favs,all-time-favs (#6),read,,,,1,0
48677019,Todos somos villanos,M.L. Rio,"Rio, M.L.",,8416517266,9788416517268,5,4.23,Umbriel,Paperback,352,2019,2017,2022/04/29,2022/04/26,all-time-favs,all-time-favs (#5),read,,,,1,0
34268,Peter Pan,J.M. Barrie,"Barrie, J.M.",Michael Hague,0805072454,9780805072457,5,4.04,Henry Holt and Co.,Hardcover,176,2003,1911,2022/05/24,2022/05/24,all-time-favs,all-time-favs (#4),read,,,,1,0
21517636,El secreto,Donna Tartt,"Tartt, Donna",,8426400302,9788426400307,5,4.17,Lumen,Hardcover,776,2014,1992,2022/07/17,2022/04/29,all-time-favs,all-time-favs (#3),read,,,,1,0
57398262,Los nombres propios,Marta Jiménez Serrano,"Serrano, Marta Jiménez",,8418342250,9788418342257,5,4.33,Editorial Sexto Piso,Paperback,236,2021,2021,2022/09/07,2022/08/24,all-time-favs,all-time-favs (#2),read,,,,1,0
233306,La voz a ti debida,Pedro Salinas,"Salinas, Pedro",,8420656135,9788420656137,5,4.34,Alianza Editorial Sa,Paperback,120,2005,1933,2022/11/12,2022/11/12,all-time-favs,all-time-favs (#1),read,"No. Te espero más allá<br/>de los fines y los términos.<br/>En lo que no ha de pasar<br/>me quedo, en el puro acto<br/>de tu deseo, queriéndote.<br/>Y no quiero ya otra cosa<br/>más que verte a ti querer.<br/><br/><br/>No sabría decir qué es lo que me ha gustado más de todo el libro, pero sé que no es la última vez que voy a leerlo. Estoy encantada y cosas así me hacen darme cuenta de lo muchísimo que me gusta leer poesía (y además es perfecta para salir de momentos de bloqueo o de aburrimiento)<br/><br/>Lo único que me apena es estar en un momento tan desprovisto de anhelos románticos que ni siquiera puedo sentir, como hacía antes, que todos estos versos eran para mí. El temblor en el corazón que me producen es solamente contemplativo y, por tanto, mucho más insípido. Pero aún así una no puede sino pensar que ojalá llegue a tener en algún momento un amor que, si no puede escribir algo como esto (o para el que no lo puede escribir una misma), sí piense y le haga pensar en estos poemas y se vea reflejado en ellos.",,,1,0
46199,Letters to a Young Poet,Rainer Maria Rilke,"Rilke, Rainer Maria","Franz Xaver Kappus, Reginald Snell",0486422453,9780486422459,0,4.3,Dover Publications,Paperback,80,2002,1929,,2022/12/02,to-read,to-read (#157),to-read,,,,0,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,0061139378,9780061139376,0,4.1,William Morrow Paperbacks,Paperback,176,2006,2002,,2022/12/02,,,read,,,,1,0
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,"Clare, Cassandra",Mette Egerod,1416914307,9781416914303,0,4.29,Margaret K. McElderry Books,Hardcover,541,2009,2009,,2022/12/02,,,read,,,,1,0
68811,Momo,Michael Ende,"Ende, Michael",,3522168577,9783522168571,0,4.33,Thienemann,Paperback,304,1999,1973,,2022/12/02,,,read,,,,1,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,1250012570,9781250012579,0,3.97,St. Martin's Press,Hardcover,328,2013,2012,,2022/12/02,,,read,,,,1,0
78411,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,0439206472,9780439206471,0,3.99,"Scholastic, Inc.",Paperback,176,1999,1999,,2022/12/02,to-read,to-read (#156),to-read,,,,0,0
1241,A Million Little Pieces,James Frey,"Frey, James",,0307276902,9780307276902,0,3.67,Anchor Books,Paperback,515,2005,2003,,2022/12/02,,,read,,,,1,0
18635016,"The One (The Selection, #3)",Kiera Cass,"Cass, Kiera",,0062059998,9780062059994,0,4.17,HarperTeen,Hardcover,323,2014,2014,,2022/12/02,,,read,,,,1,0
16248068,"The Elite (The Selection, #2)",Kiera Cass,"Cass, Kiera",,0062059963,9780062059963,0,3.96,HarperTeen,Hardcover,336,2013,2013,,2022/12/02,,,read,,,,1,0
