Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58724601,Drunk on All Your Strange New Words,Eddie Robson,"Robson, Eddie",,"=""1250807344""","=""9781250807342""",0,3.97,Tordotcom,Hardcover,277,2022,2022,,2022/11/14,to-read,to-read (#66),to-read,,,,0,0
43800,"La hora de las brujas (Las brujas de Mayfair, #1)",Anne Rice,"Rice, Anne",Silvia Komet Dain,"=""8466621318""","=""9788466621311""",0,4.11,Ediciones B,Paperback,1264,2005,1990,,2021/10/23,currently-reading,currently-reading (#1),currently-reading,,,,1,0
4442255,"Der Name des Windes (Die Königsmörder-Chronik, #1)",Patrick Rothfuss,"Rothfuss, Patrick",Jochen Schwarzer,"=""360893815X""","=""9783608938159""",0,4.52,Klett-Cotta,Hardcover,863,2008,2007,,2022/11/11,currently-reading,currently-reading (#2),currently-reading,,,,1,0
1139633,Sobre la certeza,Ludwig Wittgenstein,"Wittgenstein, Ludwig",,"=""8474322952""","=""9788474322958""",0,4.16,Gedisa,Paperback,192,2009,1969,,2022/06/22,on-hold,on-hold (#9),on-hold,,,,0,0
5978003,Contra la interpretación y otros ensayos,Susan Sontag,"Sontag, Susan",,"=""9875664251""","=""9789875664258""",0,4.13,DeBolsillo,Mass Market Paperback,400,,1966,,2022/08/30,on-hold,on-hold (#8),on-hold,,,,0,0
58023419,La España de las piscinas,Jorge Dioni López,"López, Jorge Dioni",,"=""""","=""9788417623951""",3,3.80,Arpa Editores,Paperback,272,2021,,2022/11/10,2022/09/22,urbanismo,urbanismo (#4),read,,,,1,0
53110392,Devaluación continua: Informe urgente sobre alumnos y profesores de secundaria,Andreu Navarra Ordoño,"Ordoño, Andreu Navarra",,"=""""","=""""",0,4.14,Tusquets Editores S.A.,Kindle Edition,191,2019,,,2022/11/08,to-read,to-read (#65),to-read,,,,0,0
472626,Krabat,Otfried Preußler,"Preußler, Otfried",,"=""3522144104""","=""9783522144100""",0,3.94,Thienemanns,Paperback,296,1988,1971,,2022/11/07,to-read,to-read (#64),to-read,,,,0,0
60842915,"España fea: El caos urbano, el mayor fracaso de la democracia",Andrés Rubio,"Rubio, Andrés",,"=""""","=""""",0,3.68,,Kindle Edition,,2022,,,2022/11/01,to-read,to-read (#63),to-read,,,,0,0
21954673,La sociedad del cansancio,Byung-Chul Han,"Han, Byung-Chul",Arantzazu Saratxaga Arregi,"=""""","=""""",2,3.91,Herder,Kindle Edition,80,,2010,2022/10/31,2022/10/23,,,read,,,,1,0
26195941,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,"Zuboff, Shoshana",,"=""1610395697""","=""9781610395694""",0,4.07,PublicAffairs,Hardcover,691,2019,2018,,2022/10/30,to-read,to-read (#62),to-read,,,,0,0
15763488,Ensayo sobre el cansancio,Peter Handke,"Handke, Peter",Eustaquio Barjau,"=""9504000452""","=""""",0,3.14,Alianza,Paperback,86,1990,1989,,2022/10/27,to-read,to-read (#61),to-read,,,,0,0
38500,Women,Charles Bukowski,"Bukowski, Charles",,"=""0061177598""","=""9780061177590""",0,3.83,Ecco,Paperback,291,2014,1978,,2022/10/22,to-read,to-read (#60),to-read,,,,0,0
7653881,La luna es una cruel amante,Robert A. Heinlein,"Heinlein, Robert A.",Manuel Mata Álvarez,"=""8498005035""","=""9788498005035""",0,4.16,La Factoría de Ideas,Paperback,352,2009,1966,,2022/10/08,to-read,to-read (#59),to-read,,,,0,0
44625703,Yerma (Edicion Miguel Garcia-Posada),Federico García Lorca,"Lorca, Federico García",,"=""8467023295""","=""9788467023299""",4,3.90,Espasa Calpe,Paperback,,,1934,2022/09/14,2022/09/13,,,read,,,,1,0
